ID	Pop.total	Pop.term	Study.total	Study.term	marg	name
GO:0030656	18063	5	26	1	5.2000052000052E-5	"regulation of vitamin metabolic process"
GO:0035282	18063	98	26	2	0.0	"segmentation"
GO:0043954	18063	13	26	1	0.0	"cellular component maintenance"
GO:0045595	18063	141	26	4	0.0	"regulation of cell differentiation"
GO:0030658	18063	14	26	1	0.0	"transport vesicle membrane"
GO:0030659	18063	32	26	1	0.0	"cytoplasmic vesicle membrane"
GO:0061311	18063	19	26	1	0.0	"cell surface receptor signaling pathway involved in heart development"
GO:0021932	18063	1	26	1	6.61000661000661E-4	"hindbrain radial glia guided cell migration"
GO:0035295	18063	195	26	7	0.0	"tube development"
GO:0032616	18063	1	26	1	0.001152001152001152	"interleukin-13 production"
GO:0021915	18063	66	26	1	0.0	"neural tube development"
GO:0032634	18063	1	26	1	8.26000826000826E-4	"interleukin-5 production"
GO:0032633	18063	1	26	1	0.001124001124001124	"interleukin-4 production"
GO:0035326	18063	1	26	1	0.00139000139000139	"enhancer binding"
GO:0000122	18063	25	26	1	0.0	"negative regulation of transcription from RNA polymerase II promoter"
GO:0000139	18063	142	26	2	0.0	"Golgi membrane"
GO:0090066	18063	45	26	2	0.0	"regulation of anatomical structure size"
GO:0035085	18063	6	26	1	2.6000026000026E-5	"cilium axoneme"
GO:0021872	18063	16	26	1	0.0	"forebrain generation of neurons"
GO:0021873	18063	2	26	1	4.85000485000485E-4	"forebrain neuroblast division"
GO:0061351	18063	26	26	1	0.0	"neural precursor cell proliferation"
GO:0021879	18063	15	26	1	0.0	"forebrain neuron differentiation"
GO:0061371	18063	81	26	3	0.0	"determination of heart left/right asymmetry"
GO:0032656	18063	1	26	1	6.86000686000686E-4	"regulation of interleukin-13 production"
GO:0035097	18063	15	26	1	0.0	"histone methyltransferase complex"
GO:0035102	18063	2	26	1	3.1000031000031E-4	"PRC1 complex"
GO:0021861	18063	1	26	1	0.001031001031001031	"forebrain radial glial cell differentiation"
GO:0002062	18063	19	26	3	0.0	"chondrocyte differentiation"
GO:0050509	18063	4	26	1	0.0	"N-acetylglucosaminyl-proteoglycan 4-beta-glucuronosyltransferase activity"
GO:0030522	18063	56	26	2	0.0	"intracellular receptor mediated signaling pathway"
GO:0032674	18063	1	26	1	9.16000916000916E-4	"regulation of interleukin-5 production"
GO:0035113	18063	33	26	7	0.0	"embryonic appendage morphogenesis"
GO:0030520	18063	2	26	1	1.46000146000146E-4	"intracellular estrogen receptor signaling pathway"
GO:0032673	18063	1	26	1	0.001162001162001162	"regulation of interleukin-4 production"
GO:0021854	18063	15	26	1	0.0	"hypothalamus development"
GO:0035118	18063	25	26	6	0.001289001289001289	"embryonic pectoral fin morphogenesis"
GO:0061312	18063	13	26	1	0.0	"BMP signaling pathway involved in heart development"
GO:0035107	18063	95	26	14	0.0	"appendage morphogenesis"
GO:0035108	18063	10	26	3	0.0	"limb morphogenesis"
GO:0030518	18063	7	26	1	0.0	"intracellular steroid hormone receptor signaling pathway"
GO:0000166	18063	2430	26	2	0.0	"nucleotide binding"
GO:0030516	18063	13	26	2	0.0	"regulation of axon extension"
GO:0006412	18063	425	26	3	0.0	"translation"
GO:0010817	18063	36	26	3	0.0	"regulation of hormone levels"
GO:0030510	18063	35	26	1	0.0	"regulation of BMP signaling pathway"
GO:0030509	18063	49	26	2	0.0	"BMP signaling pathway"
GO:0090092	18063	45	26	1	0.0	"regulation of transmembrane receptor protein serine/threonine kinase signaling pathway"
GO:0032696	18063	1	26	1	7.51000751000751E-4	"negative regulation of interleukin-13 production"
GO:1901363	18063	4944	26	7	0.0	"heterocyclic compound binding"
GO:0006508	18063	578	26	1	0.0	"proteolysis"
GO:0035143	18063	7	26	1	0.0	"caudal fin morphogenesis"
GO:1901360	18063	2670	26	6	0.0	"organic cyclic compound metabolic process"
GO:0035141	18063	10	26	2	0.0	"medial fin morphogenesis"
GO:0035138	18063	30	26	11	0.001006001006001006	"pectoral fin morphogenesis"
GO:0032713	18063	1	26	1	0.001149001149001149	"negative regulation of interleukin-4 production"
GO:0032714	18063	1	26	1	8.53000853000853E-4	"negative regulation of interleukin-5 production"
GO:0002138	18063	5	26	1	2.1000021000021E-5	"retinoic acid biosynthetic process"
GO:0039023	18063	3	26	1	3.000003000003E-5	"pronephric duct morphogenesis"
GO:0039022	18063	5	26	1	3.5000035000035E-5	"pronephric duct development"
GO:0061387	18063	13	26	2	0.0	"regulation of extent of cell growth"
GO:0010769	18063	25	26	2	0.0	"regulation of cell morphogenesis involved in differentiation"
GO:0021782	18063	18	26	1	0.0	"glial cell development"
GO:0045743	18063	10	26	2	2.000002000002E-5	"positive regulation of fibroblast growth factor receptor signaling pathway"
GO:0021766	18063	2	26	1	3.96000396000396E-4	"hippocampus development"
GO:0021761	18063	16	26	1	0.0	"limbic system development"
GO:0030336	18063	10	26	1	0.0	"negative regulation of cell migration"
GO:0048066	18063	44	26	1	0.0	"developmental pigmentation"
GO:0000278	18063	117	26	1	0.0	"mitotic cell cycle"
GO:0048069	18063	5	26	1	0.0	"eye pigmentation"
GO:0032774	18063	1271	26	6	0.0	"RNA biosynthetic process"
GO:0009058	18063	2278	26	8	0.0	"biosynthetic process"
GO:0009059	18063	1808	26	8	0.0	"macromolecule biosynthetic process"
GO:0032787	18063	75	26	2	0.0	"monocarboxylic acid metabolic process"
GO:0045893	18063	114	26	1	0.0	"positive regulation of transcription, DNA-dependent"
GO:0045892	18063	75	26	2	0.0	"negative regulation of transcription, DNA-dependent"
GO:0048103	18063	2	26	1	3.6000036000036E-4	"somatic stem cell division"
GO:0072359	18063	470	26	6	0.0	"circulatory system development"
GO:0072358	18063	470	26	6	0.0	"cardiovascular system development"
GO:0080090	18063	1551	26	6	0.0	"regulation of primary metabolic process"
GO:0045935	18063	130	26	1	0.0	"positive regulation of nucleobase-containing compound metabolic process"
GO:0045934	18063	94	26	2	0.0	"negative regulation of nucleobase-containing compound metabolic process"
GO:1901265	18063	2430	26	2	0.0	"nucleoside phosphate binding"
GO:0032291	18063	2	26	1	1.4000014000014E-4	"axon ensheathment in central nervous system"
GO:0032292	18063	1	26	1	7.42000742000742E-4	"peripheral nervous system axon ensheathment"
GO:0032350	18063	6	26	1	0.0	"regulation of hormone metabolic process"
GO:0019725	18063	124	26	1	0.0	"cellular homeostasis"
GO:0061053	18063	92	26	2	0.0	"somite development"
GO:0048010	18063	28	26	1	0.0	"vascular endothelial growth factor receptor signaling pathway"
GO:0032835	18063	16	26	1	0.0	"glomerulus development"
GO:0002520	18063	180	26	1	0.0	"immune system development"
GO:0002521	18063	33	26	1	0.0	"leukocyte differentiation"
GO:0061035	18063	11	26	1	0.0	"regulation of cartilage development"
GO:0032879	18063	182	26	2	0.0	"regulation of localization"
GO:0006366	18063	177	26	3	0.0	"transcription from RNA polymerase II promoter"
GO:0019752	18063	259	26	2	0.0	"carboxylic acid metabolic process"
GO:0061008	18063	60	26	1	0.0	"hepaticobiliary system development"
GO:0006357	18063	155	26	3	0.0	"regulation of transcription from RNA polymerase II promoter"
GO:0032870	18063	92	26	1	0.0	"cellular response to hormone stimulus"
GO:0015031	18063	354	26	1	0.0	"protein transport"
GO:0006355	18063	1203	26	6	0.0	"regulation of transcription, DNA-dependent"
GO:0019747	18063	5	26	1	2.3000023000023E-5	"regulation of isoprenoid metabolic process"
GO:0015020	18063	7	26	1	0.0	"glucuronosyltransferase activity"
GO:0006351	18063	1263	26	6	0.0	"transcription, DNA-dependent"
GO:0060993	18063	13	26	1	0.0	"kidney morphogenesis"
GO:0015012	18063	6	26	2	1.9000019000019E-5	"heparan sulfate proteoglycan biosynthetic process"
GO:0035051	18063	32	26	2	0.0	"cardiac cell differentiation"
GO:0035050	18063	110	26	4	0.0	"embryonic heart tube development"
GO:0061113	18063	1	26	1	0.00111000111000111	"pancreas morphogenesis"
GO:0032402	18063	15	26	3	0.0	"melanosome transport"
GO:0061114	18063	1	26	1	7.7000077000077E-4	"branching involved in pancreas morphogenesis"
GO:0032401	18063	15	26	3	0.0	"establishment of melanosome localization"
GO:0030217	18063	12	26	1	0.0	"T cell differentiation"
GO:0032400	18063	16	26	3	0.0	"melanosome localization"
GO:0019904	18063	82	26	1	0.0	"protein domain specific binding"
GO:0030223	18063	4	26	1	9.5000095000095E-5	"neutrophil differentiation"
GO:1901135	18063	726	26	3	0.0	"carbohydrate derivative metabolic process"
GO:0032943	18063	5	26	1	3.000003000003E-5	"mononuclear cell proliferation"
GO:2000146	18063	10	26	1	0.0	"negative regulation of cell motility"
GO:0061061	18063	170	26	4	0.0	"muscle structure development"
GO:2000145	18063	33	26	2	0.0	"regulation of cell motility"
GO:1901137	18063	158	26	3	0.0	"carbohydrate derivative biosynthetic process"
GO:0043583	18063	159	26	3	0.0	"ear development"
GO:0021543	18063	3	26	1	6.4000064000064E-5	"pallium development"
GO:0021542	18063	1	26	1	0.001627001627001627	"dentate gyrus development"
GO:0002376	18063	401	26	1	0.0	"immune system process"
GO:0021537	18063	13	26	1	0.0	"telencephalon development"
GO:0021536	18063	51	26	2	0.0	"diencephalon development"
GO:0043565	18063	618	26	4	0.0	"sequence-specific DNA binding"
GO:0043566	18063	76	26	1	0.0	"structure-specific DNA binding"
GO:1900052	18063	5	26	1	5.3000053000053E-5	"regulation of retinoic acid biosynthetic process"
GO:0032989	18063	311	26	6	0.0	"cellular component morphogenesis"
GO:0032990	18063	224	26	5	0.0	"cell part morphogenesis"
GO:0032991	18063	1523	26	5	0.0	"macromolecular complex"
GO:0061153	18063	1	26	1	0.001542001542001542	"trachea gland development"
GO:0061152	18063	1	26	1	0.001175001175001175	"trachea submucosa development"
GO:0032501	18063	2535	26	26	0.0	"multicellular organismal process"
GO:0032502	18063	2250	26	26	0.0	"developmental process"
GO:0021513	18063	6	26	1	6.4000064000064E-5	"spinal cord dorsal/ventral patterning"
GO:0021508	18063	11	26	1	0.0	"floor plate formation"
GO:0021511	18063	7	26	1	0.0	"spinal cord patterning"
GO:0021510	18063	36	26	1	0.0	"spinal cord development"
GO:0061138	18063	35	26	2	0.0	"morphogenesis of a branching epithelium"
GO:0009101	18063	119	26	3	0.0	"glycoprotein biosynthetic process"
GO:0009100	18063	125	26	3	0.0	"glycoprotein metabolic process"
GO:0030334	18063	32	26	2	0.0	"regulation of cell migration"
GO:0021535	18063	7	26	1	1.1000011000011E-5	"cell migration in hindbrain"
GO:0061131	18063	1	26	1	7.21000721000721E-4	"pancreas field specification"
GO:2000223	18063	11	26	1	0.0	"regulation of BMP signaling pathway involved in heart jogging"
GO:0061130	18063	1	26	1	0.001228001228001228	"pancreatic bud formation"
GO:0030331	18063	4	26	1	4.2000042000042E-5	"estrogen receptor binding"
GO:0030326	18063	4	26	1	5.1000051000051E-5	"embryonic limb morphogenesis"
GO:0045995	18063	41	26	3	0.0	"regulation of embryonic development"
GO:0030135	18063	58	26	1	0.0	"coated vesicle"
GO:0045165	18063	90	26	3	0.0	"cell fate commitment"
GO:0030134	18063	11	26	1	0.0	"ER to Golgi transport vesicle"
GO:0030133	18063	22	26	1	0.0	"transport vesicle"
GO:0007049	18063	306	26	1	0.0	"cell cycle"
GO:0008270	18063	1903	26	4	0.0	"zinc ion binding"
GO:0010454	18063	11	26	1	0.0	"negative regulation of cell fate commitment"
GO:0072114	18063	7	26	1	0.0	"pronephros morphogenesis"
GO:0010453	18063	18	26	1	0.0	"regulation of cell fate commitment"
GO:0004871	18063	1071	26	1	0.0	"signal transducer activity"
GO:0055007	18063	20	26	1	0.0	"cardiac muscle cell differentiation"
GO:0030117	18063	52	26	1	0.0	"membrane coat"
GO:0055001	18063	85	26	2	0.0	"muscle cell development"
GO:0043473	18063	73	26	4	0.0	"pigmentation"
GO:0051179	18063	1976	26	6	0.0	"localization"
GO:0055002	18063	77	26	2	0.0	"striated muscle cell development"
GO:0004879	18063	43	26	1	0.0	"ligand-activated sequence-specific DNA binding RNA polymerase II transcription factor activity"
GO:0051173	18063	131	26	1	0.0	"positive regulation of nitrogen compound metabolic process"
GO:0030127	18063	8	26	1	0.0	"COPII vesicle coat"
GO:0051172	18063	94	26	2	0.0	"negative regulation of nitrogen compound metabolic process"
GO:0008285	18063	17	26	1	0.0	"negative regulation of cell proliferation"
GO:0008284	18063	36	26	1	0.0	"positive regulation of cell proliferation"
GO:0008283	18063	112	26	3	0.0	"cell proliferation"
GO:0030120	18063	16	26	1	0.0	"vesicle coat"
GO:0051171	18063	1376	26	6	0.0	"regulation of nitrogen compound metabolic process"
GO:0004872	18063	1410	26	1	0.0	"receptor activity"
GO:0033564	18063	3	26	1	4.7000047000047E-4	"anterior/posterior axon guidance"
GO:0030097	18063	168	26	1	0.0	"hemopoiesis"
GO:0030099	18063	65	26	1	0.0	"myeloid cell differentiation"
GO:0030098	18063	22	26	1	0.0	"lymphocyte differentiation"
GO:0008301	18063	44	26	2	0.0	"DNA binding, bending"
GO:0030111	18063	61	26	1	0.0	"regulation of Wnt receptor signaling pathway"
GO:0051155	18063	1	26	1	8.19000819000819E-4	"positive regulation of striated muscle cell differentiation"
GO:0051153	18063	6	26	1	4.5000045000045E-5	"regulation of striated muscle cell differentiation"
GO:0051149	18063	1	26	1	0.001028001028001028	"positive regulation of muscle cell differentiation"
GO:0051147	18063	6	26	1	2.9000029000029E-5	"regulation of muscle cell differentiation"
GO:0051146	18063	100	26	4	0.0	"striated muscle cell differentiation"
GO:0010468	18063	1384	26	7	0.0	"regulation of gene expression"
GO:0010470	18063	17	26	1	0.0	"regulation of gastrulation"
GO:0010467	18063	2017	26	9	0.0	"gene expression"
GO:0010466	18063	112	26	1	0.0	"negative regulation of peptidase activity"
GO:0008194	18063	43	26	2	0.0	"UDP-glycosyltransferase activity"
GO:0051128	18063	142	26	2	0.0	"regulation of cellular component organization"
GO:0030198	18063	29	26	1	0.0	"extracellular matrix organization"
GO:0043401	18063	82	26	1	0.0	"steroid hormone mediated signaling pathway"
GO:0030201	18063	7	26	2	0.0	"heparan sulfate proteoglycan metabolic process"
GO:0072176	18063	6	26	1	7.000007000007E-6	"nephric duct development"
GO:0072178	18063	4	26	1	0.0	"nephric duct morphogenesis"
GO:0030182	18063	305	26	5	0.0	"neuron differentiation"
GO:0022407	18063	11	26	1	0.0	"regulation of cell-cell adhesion"
GO:0008219	18063	236	26	1	0.0	"cell death"
GO:0070013	18063	372	26	3	0.0	"intracellular organelle lumen"
GO:0000578	18063	12	26	1	0.0	"embryonic axis specification"
GO:0030166	18063	14	26	3	0.0	"proteoglycan biosynthetic process"
GO:0051090	18063	60	26	1	0.0	"regulation of sequence-specific DNA binding transcription factor activity"
GO:0008233	18063	528	26	1	0.0	"peptidase activity"
GO:0051094	18063	63	26	1	0.0	"positive regulation of developmental process"
GO:0043436	18063	259	26	2	0.0	"oxoacid metabolic process"
GO:0051093	18063	69	26	1	0.0	"negative regulation of developmental process"
GO:0060784	18063	1	26	1	7.53000753000753E-4	"regulation of cell proliferation involved in tissue homeostasis"
GO:0007165	18063	2442	26	9	0.0	"signal transduction"
GO:0007167	18063	194	26	4	0.0	"enzyme linked receptor protein signaling pathway"
GO:0007166	18063	1268	26	7	0.0	"cell surface receptor signaling pathway"
GO:0060788	18063	29	26	1	0.0	"ectodermal placode formation"
GO:0060795	18063	26	26	1	0.0	"cell fate commitment involved in formation of primary germ layer"
GO:0030154	18063	809	26	12	0.0	"cell differentiation"
GO:0007155	18063	311	26	2	0.0	"cell adhesion"
GO:0007154	18063	2604	26	10	0.0	"cell communication"
GO:0030155	18063	23	26	2	0.0	"regulation of cell adhesion"
GO:0006917	18063	27	26	1	0.0	"induction of apoptosis"
GO:0006915	18063	225	26	1	0.0	"apoptotic process"
GO:0045295	18063	1	26	1	0.001326001326001326	"gamma-catenin binding"
GO:0006935	18063	93	26	3	0.0	"chemotaxis"
GO:0014706	18063	97	26	3	0.0	"striated muscle tissue development"
GO:0006928	18063	323	26	2	0.0	"cellular component movement"
GO:0035637	18063	98	26	1	0.0	"multicellular organismal signaling"
GO:0035639	18063	1873	26	1	0.0	"purine ribonucleoside triphosphate binding"
GO:0006950	18063	509	26	2	0.0	"response to stress"
GO:0070016	18063	3	26	1	1.4000014000014E-5	"armadillo repeat domain binding"
GO:0002573	18063	11	26	1	0.0	"myeloid leukocyte differentiation"
GO:0071944	18063	960	26	2	0.0	"cell periphery"
GO:0060872	18063	22	26	1	0.0	"semicircular canal development"
GO:0070121	18063	36	26	3	0.0	"Kupffer's vesicle development"
GO:0060876	18063	3	26	1	1.57000157000157E-4	"semicircular canal formation"
GO:0043288	18063	3	26	1	4.39000439000439E-4	"apocarotenoid metabolic process"
GO:0043281	18063	25	26	1	0.0	"regulation of cysteine-type endopeptidase activity involved in apoptotic process"
GO:0008361	18063	13	26	2	0.0	"regulation of cell size"
GO:0045184	18063	356	26	1	0.0	"establishment of protein localization"
GO:0008366	18063	9	26	1	0.0	"axon ensheathment"
GO:0072006	18063	25	26	1	0.0	"nephron development"
GO:0030031	18063	73	26	2	0.0	"cell projection assembly"
GO:0005102	18063	390	26	4	0.0	"receptor binding"
GO:0072001	18063	99	26	2	0.0	"renal system development"
GO:0030030	18063	262	26	5	0.0	"cell projection organization"
GO:0050953	18063	77	26	2	0.0	"sensory perception of light stimulus"
GO:0008375	18063	27	26	1	0.0	"acetylglucosaminyltransferase activity"
GO:0060438	18063	2	26	1	2.68000268000268E-4	"trachea development"
GO:0006810	18063	1711	26	4	0.0	"transport"
GO:0071842	18063	896	26	5	0.0	"cellular component organization at cellular level"
GO:0043231	18063	2975	26	10	0.0	"intracellular membrane-bounded organelle"
GO:0006807	18063	2653	26	6	0.0	"nitrogen compound metabolic process"
GO:0071841	18063	962	26	5	0.0	"cellular component organization or biogenesis at cellular level"
GO:0043228	18063	918	26	2	0.0	"non-membrane-bounded organelle"
GO:0008543	18063	29	26	2	0.0	"fibroblast growth factor receptor signaling pathway"
GO:0071840	18063	1111	26	6	0.0	"cellular component organization or biogenesis"
GO:0043229	18063	3592	26	10	0.0	"intracellular organelle"
GO:0043226	18063	3593	26	10	0.0	"organelle"
GO:0043227	18063	2975	26	10	0.0	"membrane-bounded organelle"
GO:0071844	18063	323	26	2	0.0	"cellular component assembly at cellular level"
GO:0071866	18063	1	26	1	5.39000539000539E-4	"negative regulation of apoptotic process in bone marrow"
GO:0071864	18063	1	26	1	0.001582001582001582	"positive regulation of cell proliferation in bone marrow"
GO:0003007	18063	131	26	4	0.0	"heart morphogenesis"
GO:0071865	18063	1	26	1	6.66000666000666E-4	"regulation of apoptotic process in bone marrow"
GO:0033339	18063	45	26	26	1.0	"pectoral fin development"
GO:0033338	18063	11	26	3	0.0	"medial fin development"
GO:0003002	18063	271	26	6	0.0	"regionalization"
GO:0033336	18063	8	26	2	1.000001000001E-6	"caudal fin development"
GO:0033334	18063	88	26	14	0.0	"fin morphogenesis"
GO:0033333	18063	109	26	26	0.0	"fin development"
GO:0006790	18063	44	26	2	0.0	"sulfur compound metabolic process"
GO:0060429	18063	308	26	6	0.0	"epithelium development"
GO:0071863	18063	1	26	1	0.001038001038001038	"regulation of cell proliferation in bone marrow"
GO:0043256	18063	5	26	1	0.0	"laminin complex"
GO:0043233	18063	373	26	3	0.0	"organelle lumen"
GO:0043232	18063	918	26	2	0.0	"intracellular non-membrane-bounded organelle"
GO:0071838	18063	1	26	1	0.001046001046001046	"cell proliferation in bone marrow"
GO:0043234	18063	1204	26	5	0.0	"protein complex"
GO:0071839	18063	1	26	1	7.86000786000786E-4	"apoptotic process in bone marrow"
GO:2000826	18063	13	26	1	0.0	"regulation of heart morphogenesis"
GO:0050896	18063	3231	26	10	0.0	"response to stimulus"
GO:0006873	18063	55	26	1	0.0	"cellular ion homeostasis"
GO:0043154	18063	9	26	1	6.4000064000064E-5	"negative regulation of cysteine-type endopeptidase activity involved in apoptotic process"
GO:0010629	18063	178	26	2	0.0	"negative regulation of gene expression"
GO:0043167	18063	3215	26	5	0.0	"ion binding"
GO:0010628	18063	125	26	2	0.0	"positive regulation of gene expression"
GO:0035556	18063	751	26	1	0.0	"intracellular signal transduction"
GO:0050877	18063	329	26	3	0.0	"neurological system process"
GO:0060485	18063	86	26	3	0.0	"mesenchyme development"
GO:0010646	18063	217	26	2	0.0	"regulation of cell communication"
GO:0010647	18063	60	26	2	0.0	"positive regulation of cell communication"
GO:0060537	18063	97	26	3	0.0	"muscle tissue development"
GO:0060536	18063	12	26	2	0.0	"cartilage morphogenesis"
GO:0003008	18063	445	26	3	0.0	"system process"
GO:0060538	18063	67	26	1	0.0	"skeletal muscle organ development"
GO:0060541	18063	29	26	1	0.0	"respiratory system development"
GO:0003013	18063	94	26	1	0.0	"circulatory system process"
GO:0045321	18063	30	26	1	0.0	"leukocyte activation"
GO:0043169	18063	3215	26	5	0.0	"cation binding"
GO:0006888	18063	17	26	1	0.0	"ER to Golgi vesicle-mediated transport"
GO:0043170	18063	4186	26	9	0.0	"macromolecule metabolic process"
GO:0071895	18063	1	26	1	0.0011000011000011	"odontoblast differentiation"
GO:0006886	18063	182	26	1	0.0	"intracellular protein transport"
GO:0050790	18063	573	26	1	0.0	"regulation of catalytic activity"
GO:0010565	18063	6	26	1	1.000001000001E-6	"regulation of cellular ketone metabolic process"
GO:0050789	18063	4374	26	14	0.0	"regulation of biological process"
GO:0004745	18063	2	26	1	0.001655001655001655	"retinol dehydrogenase activity"
GO:0055123	18063	81	26	5	0.0	"digestive system development"
GO:0060562	18063	120	26	3	0.0	"epithelial tube morphogenesis"
GO:0050794	18063	4058	26	14	0.0	"regulation of cellular process"
GO:0060560	18063	71	26	2	0.0	"developmental growth involved in morphogenesis"
GO:0050793	18063	244	26	7	0.0	"regulation of developmental process"
GO:0060561	18063	2	26	1	4.2000042000042E-4	"apoptotic process involved in morphogenesis"
GO:0043086	18063	172	26	1	0.0	"negative regulation of catalytic activity"
GO:0050801	18063	84	26	1	0.0	"ion homeostasis"
GO:0060548	18063	62	26	1	0.0	"negative regulation of cell death"
GO:0055114	18063	707	26	2	0.0	"oxidation-reduction process"
GO:0010604	18063	175	26	2	0.0	"positive regulation of macromolecule metabolic process"
GO:0010605	18063	234	26	2	0.0	"negative regulation of macromolecule metabolic process"
GO:0050767	18063	70	26	3	0.0	"regulation of neurogenesis"
GO:0071697	18063	29	26	1	0.0	"ectodermal placode morphogenesis"
GO:0071696	18063	31	26	1	0.0	"ectodermal placode development"
GO:0012507	18063	10	26	1	0.0	"ER to Golgi transport vesicle membrane"
GO:0012506	18063	32	26	1	0.0	"vesicle membrane"
GO:0012505	18063	354	26	4	0.0	"endomembrane system"
GO:0050770	18063	18	26	2	0.0	"regulation of axonogenesis"
GO:0000904	18063	187	26	4	0.0	"cell morphogenesis involved in differentiation"
GO:0010623	18063	4	26	1	5.7000057000057E-5	"developmental programmed cell death"
GO:0071704	18063	2862	26	8	0.0	"organic substance metabolic process"
GO:0000902	18063	277	26	6	0.0	"cell morphogenesis"
GO:0012502	18063	27	26	1	0.0	"induction of programmed cell death"
GO:0012501	18063	228	26	1	0.0	"programmed cell death"
GO:0031985	18063	24	26	1	0.0	"Golgi cisterna"
GO:0031984	18063	24	26	1	0.0	"organelle subcompartment"
GO:0033505	18063	11	26	1	0.0	"floor plate morphogenesis"
GO:0033504	18063	15	26	1	0.0	"floor plate development"
GO:0055057	18063	2	26	1	1.49000149000149E-4	"neuroblast division"
GO:0031988	18063	96	26	1	0.0	"membrane-bounded vesicle"
GO:0065007	18063	4532	26	16	0.0	"biological regulation"
GO:0045494	18063	9	26	1	0.0	"photoreceptor cell maintenance"
GO:0008593	18063	8	26	1	0.0	"regulation of Notch signaling pathway"
GO:0006721	18063	14	26	3	4.4000044000044E-5	"terpenoid metabolic process"
GO:0006720	18063	27	26	3	0.0	"isoprenoid metabolic process"
GO:0006725	18063	2636	26	6	0.0	"cellular aromatic compound metabolic process"
GO:0031974	18063	385	26	3	0.0	"membrane-enclosed lumen"
GO:0043010	18063	186	26	4	0.0	"camera-type eye development"
GO:0065009	18063	631	26	2	0.0	"regulation of molecular function"
GO:0065008	18063	393	26	5	0.0	"regulation of biological quality"
GO:0043009	18063	210	26	4	0.0	"chordate embryonic development"
GO:0031981	18063	333	26	3	0.0	"nuclear lumen"
GO:0031982	18063	101	26	1	0.0	"vesicle"
GO:0043065	18063	57	26	1	0.0	"positive regulation of apoptotic process"
GO:0043067	18063	155	26	1	0.0	"regulation of programmed cell death"
GO:0043066	18063	57	26	1	0.0	"negative regulation of apoptotic process"
GO:0043069	18063	60	26	1	0.0	"negative regulation of programmed cell death"
GO:0043068	18063	57	26	1	0.0	"positive regulation of programmed cell death"
GO:0006775	18063	15	26	3	0.0	"fat-soluble vitamin metabolic process"
GO:0006776	18063	15	26	3	0.0	"vitamin A metabolic process"
GO:0000981	18063	94	26	3	0.0	"sequence-specific DNA binding RNA polymerase II transcription factor activity"
GO:0043062	18063	29	26	1	0.0	"extracellular structure organization"
GO:0043049	18063	23	26	1	0.0	"otic placode formation"
